Tissue1,Tissue2,value,Comparison
brain substantia nigra,esophagus mucosa,0.5431403325811908,brain substantia nigra-esophagus mucosa
brain substantia nigra,pancreas,0.5582515224099796,brain substantia nigra-pancreas
brain substantia nigra,vagina,0.6004835385129104,brain substantia nigra-vagina
brain substantia nigra,esophagus muscularis,0.804463407941835,brain substantia nigra-esophagus muscularis
brain substantia nigra,whole blood,0.31078020375823223,brain substantia nigra-whole blood
brain substantia nigra,prostate,0.8063502779659463,brain substantia nigra-prostate
brain substantia nigra,stomach,0.6802886307389877,brain substantia nigra-stomach
brain substantia nigra,skin not sun exposed suprapubic,0.4936819580095304,brain substantia nigra-skin not sun exposed suprapubic
brain substantia nigra,pituitary,0.7565363606492516,brain substantia nigra-pituitary
brain substantia nigra,heart atrial appendage,0.7124970359062349,brain substantia nigra-heart atrial appendage
brain substantia nigra,breast mammary tissue,0.6854905717671549,brain substantia nigra-breast mammary tissue
brain substantia nigra,esophagus gastroesophageal junction,0.7833774682746922,brain substantia nigra-esophagus gastroesophageal junction
brain substantia nigra,heart left ventricle,0.6839941186212752,brain substantia nigra-heart left ventricle
brain substantia nigra,cells cultured fibroblasts,0.583834402571554,brain substantia nigra-cells cultured fibroblasts
brain substantia nigra,lung,0.5167909346964541,brain substantia nigra-lung
brain substantia nigra,skin sun exposed lower leg,0.5247927131941067,brain substantia nigra-skin sun exposed lower leg
brain substantia nigra,muscle skeletal,0.5575527028344659,brain substantia nigra-muscle skeletal
brain substantia nigra,brain substantia nigra,1,brain substantia nigra-brain substantia nigra
brain substantia nigra,testis,0.7751505357412061,brain substantia nigra-testis
brain substantia nigra,small intestine terminal ileum,0.40304136068754526,brain substantia nigra-small intestine terminal ileum
brain substantia nigra,nerve tibial,0.7066320817238978,brain substantia nigra-nerve tibial
brain substantia nigra,colon transverse,0.5961722879102223,brain substantia nigra-colon transverse
brain substantia nigra,ovary,0.6435965428542567,brain substantia nigra-ovary
brain substantia nigra,minor salivary gland,0.6088922628713596,brain substantia nigra-minor salivary gland
brain substantia nigra,thyroid,0.6549231058920707,brain substantia nigra-thyroid
brain substantia nigra,liver,0.6336433450016824,brain substantia nigra-liver
brain substantia nigra,cells ebv-transformed lymphocytes,0.21251234347139283,brain substantia nigra-cells ebv-transformed lymphocytes
brain substantia nigra,kidney cortex,0.702223705474637,brain substantia nigra-kidney cortex
brain substantia nigra,colon sigmoid,0.8496361677500127,brain substantia nigra-colon sigmoid
brain substantia nigra,spleen,0.2736508856498528,brain substantia nigra-spleen
brain substantia nigra,uterus,0.7413777990348218,brain substantia nigra-uterus
testis,vagina,0.7180384001233056,testis-vagina
testis,whole blood,0.5444047730920487,testis-whole blood
testis,testis,1,testis-testis
testis,thyroid,0.8209427075932709,testis-thyroid
testis,uterus,0.7850692389065893,testis-uterus
small intestine terminal ileum,vagina,0.855942248542327,small intestine terminal ileum-vagina
small intestine terminal ileum,whole blood,0.8314024726413983,small intestine terminal ileum-whole blood
small intestine terminal ileum,stomach,0.875510572338742,small intestine terminal ileum-stomach
small intestine terminal ileum,testis,0.585734509864697,small intestine terminal ileum-testis
small intestine terminal ileum,small intestine terminal ileum,1,small intestine terminal ileum-small intestine terminal ileum
small intestine terminal ileum,thyroid,0.855184250390052,small intestine terminal ileum-thyroid
small intestine terminal ileum,spleen,0.9325387368606811,small intestine terminal ileum-spleen
small intestine terminal ileum,uterus,0.8185238729392393,small intestine terminal ileum-uterus
nerve tibial,pancreas,0.6842946324470276,nerve tibial-pancreas
nerve tibial,vagina,0.9258777952988778,nerve tibial-vagina
nerve tibial,whole blood,0.7609303483191721,nerve tibial-whole blood
nerve tibial,prostate,0.9137877775065387,nerve tibial-prostate
nerve tibial,stomach,0.9560804460784114,nerve tibial-stomach
nerve tibial,skin not sun exposed suprapubic,0.8350556692839258,nerve tibial-skin not sun exposed suprapubic
nerve tibial,pituitary,0.950437444226647,nerve tibial-pituitary
nerve tibial,skin sun exposed lower leg,0.8366166997759328,nerve tibial-skin sun exposed lower leg
nerve tibial,testis,0.8649334190088386,nerve tibial-testis
nerve tibial,small intestine terminal ileum,0.8379401160425887,nerve tibial-small intestine terminal ileum
nerve tibial,nerve tibial,1,nerve tibial-nerve tibial
nerve tibial,ovary,0.8299016340839782,nerve tibial-ovary
nerve tibial,thyroid,0.9473120632685149,nerve tibial-thyroid
nerve tibial,spleen,0.7181861731371325,nerve tibial-spleen
nerve tibial,uterus,0.9287434371755386,nerve tibial-uterus
adipose visceral omentum,esophagus mucosa,0.8837576775219632,adipose visceral omentum-esophagus mucosa
adipose visceral omentum,pancreas,0.6814018293171907,adipose visceral omentum-pancreas
adipose visceral omentum,vagina,0.9287429428140658,adipose visceral omentum-vagina
adipose visceral omentum,esophagus muscularis,0.8997061067187767,adipose visceral omentum-esophagus muscularis
adipose visceral omentum,whole blood,0.8167393510542654,adipose visceral omentum-whole blood
adipose visceral omentum,brain hypothalamus,0.5873275968165562,adipose visceral omentum-brain hypothalamus
adipose visceral omentum,brain nucleus accumbens basal ganglia,0.5707011019704691,adipose visceral omentum-brain nucleus accumbens basal ganglia
adipose visceral omentum,brain putamen basal ganglia,0.5734020736118307,adipose visceral omentum-brain putamen basal ganglia
adipose visceral omentum,prostate,0.8533881016038363,adipose visceral omentum-prostate
adipose visceral omentum,brain hippocampus,0.5303376136502722,adipose visceral omentum-brain hippocampus
adipose visceral omentum,artery aorta,0.9526489524502023,adipose visceral omentum-artery aorta
adipose visceral omentum,brain amygdala,0.5598122752129535,adipose visceral omentum-brain amygdala
adipose visceral omentum,brain spinal cord cervical c-1,0.516020250275013,adipose visceral omentum-brain spinal cord cervical c-1
adipose visceral omentum,stomach,0.9297304548973505,adipose visceral omentum-stomach
adipose visceral omentum,skin not sun exposed suprapubic,0.863936128277465,adipose visceral omentum-skin not sun exposed suprapubic
adipose visceral omentum,artery coronary,0.951980069161144,adipose visceral omentum-artery coronary
adipose visceral omentum,brain anterior cingulate cortex ba24,0.47047861336342794,adipose visceral omentum-brain anterior cingulate cortex ba24
adipose visceral omentum,pituitary,0.8636648037614016,adipose visceral omentum-pituitary
adipose visceral omentum,brain cerebellum,0.5290638477043922,adipose visceral omentum-brain cerebellum
adipose visceral omentum,artery tibial,0.895322706366378,adipose visceral omentum-artery tibial
adipose visceral omentum,heart atrial appendage,0.878420518991316,adipose visceral omentum-heart atrial appendage
adipose visceral omentum,breast mammary tissue,0.9685468234921615,adipose visceral omentum-breast mammary tissue
adipose visceral omentum,brain cortex,0.4538451963616475,adipose visceral omentum-brain cortex
adipose visceral omentum,adrenal gland,0.9222584245357728,adipose visceral omentum-adrenal gland
adipose visceral omentum,esophagus gastroesophageal junction,0.9234285195958984,adipose visceral omentum-esophagus gastroesophageal junction
adipose visceral omentum,heart left ventricle,0.7901858091448296,adipose visceral omentum-heart left ventricle
adipose visceral omentum,cells cultured fibroblasts,0.8656286403403082,adipose visceral omentum-cells cultured fibroblasts
adipose visceral omentum,lung,0.961358978322433,adipose visceral omentum-lung
adipose visceral omentum,skin sun exposed lower leg,0.841196518817015,adipose visceral omentum-skin sun exposed lower leg
adipose visceral omentum,muscle skeletal,0.8207038918181878,adipose visceral omentum-muscle skeletal
adipose visceral omentum,brain substantia nigra,0.5926484033603291,adipose visceral omentum-brain substantia nigra
adipose visceral omentum,testis,0.7231977689003933,adipose visceral omentum-testis
adipose visceral omentum,small intestine terminal ileum,0.8604828169717185,adipose visceral omentum-small intestine terminal ileum
adipose visceral omentum,nerve tibial,0.9468686261006632,adipose visceral omentum-nerve tibial
adipose visceral omentum,adipose visceral omentum,1,adipose visceral omentum-adipose visceral omentum
adipose visceral omentum,brain frontal cortex ba9,0.4117131062491523,adipose visceral omentum-brain frontal cortex ba9
adipose visceral omentum,colon transverse,0.9069321761986147,adipose visceral omentum-colon transverse
adipose visceral omentum,ovary,0.835815538205578,adipose visceral omentum-ovary
adipose visceral omentum,minor salivary gland,0.9487386820663762,adipose visceral omentum-minor salivary gland
adipose visceral omentum,brain cerebellar hemisphere,0.5186282968821488,adipose visceral omentum-brain cerebellar hemisphere
adipose visceral omentum,thyroid,0.9091328448429777,adipose visceral omentum-thyroid
adipose visceral omentum,liver,0.8373958546545749,adipose visceral omentum-liver
adipose visceral omentum,cells ebv-transformed lymphocytes,0.5087399530388703,adipose visceral omentum-cells ebv-transformed lymphocytes
adipose visceral omentum,kidney cortex,0.7812378650905516,adipose visceral omentum-kidney cortex
adipose visceral omentum,colon sigmoid,0.8500594633822854,adipose visceral omentum-colon sigmoid
adipose visceral omentum,brain caudate basal ganglia,0.6143128502998529,adipose visceral omentum-brain caudate basal ganglia
adipose visceral omentum,spleen,0.7742199819051959,adipose visceral omentum-spleen
adipose visceral omentum,uterus,0.9239349924101455,adipose visceral omentum-uterus
brain frontal cortex ba9,esophagus mucosa,0.3782667774324101,brain frontal cortex ba9-esophagus mucosa
brain frontal cortex ba9,pancreas,0.541362951013156,brain frontal cortex ba9-pancreas
brain frontal cortex ba9,vagina,0.44430865077640797,brain frontal cortex ba9-vagina
brain frontal cortex ba9,esophagus muscularis,0.6718638466779944,brain frontal cortex ba9-esophagus muscularis
brain frontal cortex ba9,whole blood,0.1902017729932725,brain frontal cortex ba9-whole blood
brain frontal cortex ba9,brain hypothalamus,0.9357133202772144,brain frontal cortex ba9-brain hypothalamus
brain frontal cortex ba9,brain nucleus accumbens basal ganglia,0.9590228922373543,brain frontal cortex ba9-brain nucleus accumbens basal ganglia
brain frontal cortex ba9,brain putamen basal ganglia,0.9369788019636812,brain frontal cortex ba9-brain putamen basal ganglia
brain frontal cortex ba9,prostate,0.672625666610288,brain frontal cortex ba9-prostate
brain frontal cortex ba9,brain hippocampus,0.9428966730306824,brain frontal cortex ba9-brain hippocampus
brain frontal cortex ba9,brain spinal cord cervical c-1,0.6957177774900742,brain frontal cortex ba9-brain spinal cord cervical c-1
brain frontal cortex ba9,stomach,0.5436542580850895,brain frontal cortex ba9-stomach
brain frontal cortex ba9,skin not sun exposed suprapubic,0.3431145994658605,brain frontal cortex ba9-skin not sun exposed suprapubic
brain frontal cortex ba9,pituitary,0.6905501929040805,brain frontal cortex ba9-pituitary
brain frontal cortex ba9,heart atrial appendage,0.620846885047846,brain frontal cortex ba9-heart atrial appendage
brain frontal cortex ba9,breast mammary tissue,0.5369256816538418,brain frontal cortex ba9-breast mammary tissue
brain frontal cortex ba9,esophagus gastroesophageal junction,0.6376604139937567,brain frontal cortex ba9-esophagus gastroesophageal junction
brain frontal cortex ba9,heart left ventricle,0.6051406520623462,brain frontal cortex ba9-heart left ventricle
brain frontal cortex ba9,cells cultured fibroblasts,0.4875490316673503,brain frontal cortex ba9-cells cultured fibroblasts
brain frontal cortex ba9,lung,0.36103620698198635,brain frontal cortex ba9-lung
brain frontal cortex ba9,skin sun exposed lower leg,0.3880601188435364,brain frontal cortex ba9-skin sun exposed lower leg
brain frontal cortex ba9,muscle skeletal,0.4951416024060409,brain frontal cortex ba9-muscle skeletal
brain frontal cortex ba9,brain substantia nigra,0.9188398710129483,brain frontal cortex ba9-brain substantia nigra
brain frontal cortex ba9,testis,0.7338183315565142,brain frontal cortex ba9-testis
brain frontal cortex ba9,small intestine terminal ileum,0.2651583685392795,brain frontal cortex ba9-small intestine terminal ileum
brain frontal cortex ba9,nerve tibial,0.5815315811441697,brain frontal cortex ba9-nerve tibial
brain frontal cortex ba9,brain frontal cortex ba9,1,brain frontal cortex ba9-brain frontal cortex ba9
brain frontal cortex ba9,colon transverse,0.4477173042607216,brain frontal cortex ba9-colon transverse
brain frontal cortex ba9,ovary,0.571036204399423,brain frontal cortex ba9-ovary
brain frontal cortex ba9,minor salivary gland,0.49120667985034583,brain frontal cortex ba9-minor salivary gland
brain frontal cortex ba9,thyroid,0.5366104550479864,brain frontal cortex ba9-thyroid
brain frontal cortex ba9,liver,0.42575039438651746,brain frontal cortex ba9-liver
brain frontal cortex ba9,cells ebv-transformed lymphocytes,0.16943509856115685,brain frontal cortex ba9-cells ebv-transformed lymphocytes
brain frontal cortex ba9,kidney cortex,0.6282098040108669,brain frontal cortex ba9-kidney cortex
brain frontal cortex ba9,colon sigmoid,0.6909997332693726,brain frontal cortex ba9-colon sigmoid
brain frontal cortex ba9,spleen,0.13722258480315008,brain frontal cortex ba9-spleen
brain frontal cortex ba9,uterus,0.5605476063285951,brain frontal cortex ba9-uterus
colon transverse,esophagus mucosa,0.8850563130088708,colon transverse-esophagus mucosa
colon transverse,pancreas,0.6287554168510879,colon transverse-pancreas
colon transverse,vagina,0.908430177432608,colon transverse-vagina
colon transverse,esophagus muscularis,0.9030007461602707,colon transverse-esophagus muscularis
colon transverse,whole blood,0.7697921941480622,colon transverse-whole blood
colon transverse,prostate,0.883482139607707,colon transverse-prostate
colon transverse,stomach,0.9420459271771041,colon transverse-stomach
colon transverse,skin not sun exposed suprapubic,0.8604244150897157,colon transverse-skin not sun exposed suprapubic
colon transverse,pituitary,0.8740117300083377,colon transverse-pituitary
colon transverse,heart atrial appendage,0.829335639836441,colon transverse-heart atrial appendage
colon transverse,esophagus gastroesophageal junction,0.9175113928154398,colon transverse-esophagus gastroesophageal junction
colon transverse,heart left ventricle,0.7607492420260425,colon transverse-heart left ventricle
colon transverse,lung,0.9097613173777601,colon transverse-lung
colon transverse,skin sun exposed lower leg,0.8489792290197838,colon transverse-skin sun exposed lower leg
colon transverse,muscle skeletal,0.7383698127510985,colon transverse-muscle skeletal
colon transverse,testis,0.684651552211563,colon transverse-testis
colon transverse,small intestine terminal ileum,0.9443577818815062,colon transverse-small intestine terminal ileum
colon transverse,nerve tibial,0.9011118021303002,colon transverse-nerve tibial
colon transverse,colon transverse,1,colon transverse-colon transverse
colon transverse,ovary,0.7402818483479701,colon transverse-ovary
colon transverse,minor salivary gland,0.9250853875064645,colon transverse-minor salivary gland
colon transverse,thyroid,0.9123802807529858,colon transverse-thyroid
colon transverse,liver,0.7817734796176525,colon transverse-liver
colon transverse,kidney cortex,0.7927261313295457,colon transverse-kidney cortex
colon transverse,spleen,0.8444648230004659,colon transverse-spleen
colon transverse,uterus,0.9093852047396974,colon transverse-uterus
ovary,pancreas,0.6849855764874763,ovary-pancreas
ovary,vagina,0.7653279209046108,ovary-vagina
ovary,whole blood,0.5874995745713686,ovary-whole blood
ovary,prostate,0.8022116752158931,ovary-prostate
ovary,stomach,0.7560873204734977,ovary-stomach
ovary,skin not sun exposed suprapubic,0.6656118382759229,ovary-skin not sun exposed suprapubic
ovary,pituitary,0.8042011256979098,ovary-pituitary
ovary,skin sun exposed lower leg,0.663427501742121,ovary-skin sun exposed lower leg
ovary,testis,0.7510040594214265,ovary-testis
ovary,small intestine terminal ileum,0.6801861124962636,ovary-small intestine terminal ileum
ovary,ovary,1,ovary-ovary
ovary,thyroid,0.8127231724433511,ovary-thyroid
ovary,spleen,0.5996173967011287,ovary-spleen
ovary,uterus,0.8500348978053995,ovary-uterus
minor salivary gland,pancreas,0.7161539661673382,minor salivary gland-pancreas
minor salivary gland,vagina,0.9120333231741031,minor salivary gland-vagina
minor salivary gland,whole blood,0.830749060097356,minor salivary gland-whole blood
minor salivary gland,prostate,0.9003355911671403,minor salivary gland-prostate
minor salivary gland,stomach,0.9764148254208336,minor salivary gland-stomach
minor salivary gland,skin not sun exposed suprapubic,0.8368606111048723,minor salivary gland-skin not sun exposed suprapubic
minor salivary gland,pituitary,0.9317582112244954,minor salivary gland-pituitary
minor salivary gland,skin sun exposed lower leg,0.8280846601890397,minor salivary gland-skin sun exposed lower leg
minor salivary gland,muscle skeletal,0.8335947910576025,minor salivary gland-muscle skeletal
minor salivary gland,testis,0.794873162824447,minor salivary gland-testis
minor salivary gland,small intestine terminal ileum,0.8888185513985403,minor salivary gland-small intestine terminal ileum
minor salivary gland,nerve tibial,0.9668217282136501,minor salivary gland-nerve tibial
minor salivary gland,ovary,0.7833372465191041,minor salivary gland-ovary
minor salivary gland,minor salivary gland,1,minor salivary gland-minor salivary gland
minor salivary gland,thyroid,0.946804371028495,minor salivary gland-thyroid
minor salivary gland,spleen,0.7809675169647412,minor salivary gland-spleen
minor salivary gland,uterus,0.9004770621526478,minor salivary gland-uterus
brain cerebellar hemisphere,esophagus mucosa,0.48915027130301825,brain cerebellar hemisphere-esophagus mucosa
brain cerebellar hemisphere,pancreas,0.5768000843997065,brain cerebellar hemisphere-pancreas
brain cerebellar hemisphere,vagina,0.5395196287791809,brain cerebellar hemisphere-vagina
brain cerebellar hemisphere,esophagus muscularis,0.7329024042090397,brain cerebellar hemisphere-esophagus muscularis
brain cerebellar hemisphere,whole blood,0.33613637957270337,brain cerebellar hemisphere-whole blood
brain cerebellar hemisphere,brain hypothalamus,0.9247079855201493,brain cerebellar hemisphere-brain hypothalamus
brain cerebellar hemisphere,brain nucleus accumbens basal ganglia,0.9388122489807893,brain cerebellar hemisphere-brain nucleus accumbens basal ganglia
brain cerebellar hemisphere,brain putamen basal ganglia,0.9179574783611524,brain cerebellar hemisphere-brain putamen basal ganglia
brain cerebellar hemisphere,prostate,0.7623282924654319,brain cerebellar hemisphere-prostate
brain cerebellar hemisphere,brain hippocampus,0.9071315547111694,brain cerebellar hemisphere-brain hippocampus
brain cerebellar hemisphere,brain spinal cord cervical c-1,0.7202147175921313,brain cerebellar hemisphere-brain spinal cord cervical c-1
brain cerebellar hemisphere,stomach,0.6409132210948398,brain cerebellar hemisphere-stomach
brain cerebellar hemisphere,skin not sun exposed suprapubic,0.4375927330529121,brain cerebellar hemisphere-skin not sun exposed suprapubic
brain cerebellar hemisphere,pituitary,0.764376999450146,brain cerebellar hemisphere-pituitary
brain cerebellar hemisphere,brain cerebellum,0.9920377553808982,brain cerebellar hemisphere-brain cerebellum
brain cerebellar hemisphere,heart atrial appendage,0.6707650544279942,brain cerebellar hemisphere-heart atrial appendage
brain cerebellar hemisphere,breast mammary tissue,0.6556599273687141,brain cerebellar hemisphere-breast mammary tissue
brain cerebellar hemisphere,brain cortex,0.9309753061574503,brain cerebellar hemisphere-brain cortex
brain cerebellar hemisphere,esophagus gastroesophageal junction,0.6986415734349167,brain cerebellar hemisphere-esophagus gastroesophageal junction
brain cerebellar hemisphere,heart left ventricle,0.6900494021319288,brain cerebellar hemisphere-heart left ventricle
brain cerebellar hemisphere,cells cultured fibroblasts,0.6040333792364554,brain cerebellar hemisphere-cells cultured fibroblasts
brain cerebellar hemisphere,lung,0.487241774600012,brain cerebellar hemisphere-lung
brain cerebellar hemisphere,skin sun exposed lower leg,0.4832701441679816,brain cerebellar hemisphere-skin sun exposed lower leg
brain cerebellar hemisphere,muscle skeletal,0.6000454913781459,brain cerebellar hemisphere-muscle skeletal
brain cerebellar hemisphere,brain substantia nigra,0.8925230238531249,brain cerebellar hemisphere-brain substantia nigra
brain cerebellar hemisphere,testis,0.8297894237406358,brain cerebellar hemisphere-testis
brain cerebellar hemisphere,small intestine terminal ileum,0.3770573379904076,brain cerebellar hemisphere-small intestine terminal ileum
brain cerebellar hemisphere,nerve tibial,0.6797332535875614,brain cerebellar hemisphere-nerve tibial
brain cerebellar hemisphere,brain frontal cortex ba9,0.9159752108408266,brain cerebellar hemisphere-brain frontal cortex ba9
brain cerebellar hemisphere,colon transverse,0.5294733167695573,brain cerebellar hemisphere-colon transverse
brain cerebellar hemisphere,ovary,0.5968090216972148,brain cerebellar hemisphere-ovary
brain cerebellar hemisphere,minor salivary gland,0.6099732146238974,brain cerebellar hemisphere-minor salivary gland
brain cerebellar hemisphere,brain cerebellar hemisphere,1,brain cerebellar hemisphere-brain cerebellar hemisphere
brain cerebellar hemisphere,thyroid,0.6300611260369275,brain cerebellar hemisphere-thyroid
brain cerebellar hemisphere,liver,0.5666584681561614,brain cerebellar hemisphere-liver
brain cerebellar hemisphere,cells ebv-transformed lymphocytes,0.21641769094799077,brain cerebellar hemisphere-cells ebv-transformed lymphocytes
brain cerebellar hemisphere,kidney cortex,0.7401773394586296,brain cerebellar hemisphere-kidney cortex
brain cerebellar hemisphere,colon sigmoid,0.7169707554301773,brain cerebellar hemisphere-colon sigmoid
brain cerebellar hemisphere,spleen,0.24229165554125498,brain cerebellar hemisphere-spleen
brain cerebellar hemisphere,uterus,0.6357415393176248,brain cerebellar hemisphere-uterus
thyroid,vagina,0.8674987804628636,thyroid-vagina
thyroid,whole blood,0.7302294321179089,thyroid-whole blood
thyroid,thyroid,1,thyroid-thyroid
thyroid,uterus,0.9516173281567408,thyroid-uterus
liver,pancreas,0.7489415932590161,liver-pancreas
liver,vagina,0.7754866522635543,liver-vagina
liver,whole blood,0.6339929090390489,liver-whole blood
liver,prostate,0.8735851148248643,liver-prostate
liver,stomach,0.8660573157674326,liver-stomach
liver,skin not sun exposed suprapubic,0.6579842896969972,liver-skin not sun exposed suprapubic
liver,pituitary,0.7884826586673985,liver-pituitary
liver,lung,0.8083044111113918,liver-lung
liver,skin sun exposed lower leg,0.6385826432811134,liver-skin sun exposed lower leg
liver,muscle skeletal,0.7547076213760514,liver-muscle skeletal
liver,testis,0.6633777869441139,liver-testis
liver,small intestine terminal ileum,0.7186604788055644,liver-small intestine terminal ileum
liver,nerve tibial,0.8031979836884989,liver-nerve tibial
liver,ovary,0.6932966122740241,liver-ovary
liver,minor salivary gland,0.8180332505350252,liver-minor salivary gland
liver,thyroid,0.835413116873991,liver-thyroid
liver,liver,1,liver-liver
liver,spleen,0.6617915865532298,liver-spleen
liver,uterus,0.8583006327259468,liver-uterus
cells ebv-transformed lymphocytes,esophagus mucosa,0.40938465822780656,cells ebv-transformed lymphocytes-esophagus mucosa
cells ebv-transformed lymphocytes,pancreas,0.37760885946347617,cells ebv-transformed lymphocytes-pancreas
cells ebv-transformed lymphocytes,vagina,0.4321117682906786,cells ebv-transformed lymphocytes-vagina
cells ebv-transformed lymphocytes,esophagus muscularis,0.40727348722427564,cells ebv-transformed lymphocytes-esophagus muscularis
cells ebv-transformed lymphocytes,whole blood,0.5180053202793224,cells ebv-transformed lymphocytes-whole blood
cells ebv-transformed lymphocytes,prostate,0.37248340776730654,cells ebv-transformed lymphocytes-prostate
cells ebv-transformed lymphocytes,stomach,0.45226797952659265,cells ebv-transformed lymphocytes-stomach
cells ebv-transformed lymphocytes,skin not sun exposed suprapubic,0.41392856395518063,cells ebv-transformed lymphocytes-skin not sun exposed suprapubic
cells ebv-transformed lymphocytes,pituitary,0.469151324045279,cells ebv-transformed lymphocytes-pituitary
cells ebv-transformed lymphocytes,heart atrial appendage,0.4369528744217977,cells ebv-transformed lymphocytes-heart atrial appendage
cells ebv-transformed lymphocytes,esophagus gastroesophageal junction,0.42171372027992327,cells ebv-transformed lymphocytes-esophagus gastroesophageal junction
cells ebv-transformed lymphocytes,heart left ventricle,0.382713676538305,cells ebv-transformed lymphocytes-heart left ventricle
cells ebv-transformed lymphocytes,lung,0.5613012096572989,cells ebv-transformed lymphocytes-lung
cells ebv-transformed lymphocytes,skin sun exposed lower leg,0.3812230355506827,cells ebv-transformed lymphocytes-skin sun exposed lower leg
cells ebv-transformed lymphocytes,muscle skeletal,0.4622798325742585,cells ebv-transformed lymphocytes-muscle skeletal
cells ebv-transformed lymphocytes,testis,0.34717725724690596,cells ebv-transformed lymphocytes-testis
cells ebv-transformed lymphocytes,small intestine terminal ileum,0.5299790505991796,cells ebv-transformed lymphocytes-small intestine terminal ileum
cells ebv-transformed lymphocytes,nerve tibial,0.46376295359436115,cells ebv-transformed lymphocytes-nerve tibial
cells ebv-transformed lymphocytes,colon transverse,0.4590838355027031,cells ebv-transformed lymphocytes-colon transverse
cells ebv-transformed lymphocytes,ovary,0.449263512443911,cells ebv-transformed lymphocytes-ovary
cells ebv-transformed lymphocytes,minor salivary gland,0.47937186123051617,cells ebv-transformed lymphocytes-minor salivary gland
cells ebv-transformed lymphocytes,thyroid,0.4427175206253258,cells ebv-transformed lymphocytes-thyroid
cells ebv-transformed lymphocytes,liver,0.36640315827453857,cells ebv-transformed lymphocytes-liver
cells ebv-transformed lymphocytes,cells ebv-transformed lymphocytes,1,cells ebv-transformed lymphocytes-cells ebv-transformed lymphocytes
cells ebv-transformed lymphocytes,kidney cortex,0.3555978245403638,cells ebv-transformed lymphocytes-kidney cortex
cells ebv-transformed lymphocytes,colon sigmoid,0.36054235704136617,cells ebv-transformed lymphocytes-colon sigmoid
cells ebv-transformed lymphocytes,spleen,0.5319280047621081,cells ebv-transformed lymphocytes-spleen
cells ebv-transformed lymphocytes,uterus,0.45077946442999356,cells ebv-transformed lymphocytes-uterus
adipose subcutaneous,esophagus mucosa,0.7971571200358721,adipose subcutaneous-esophagus mucosa
adipose subcutaneous,pancreas,0.6460713715852255,adipose subcutaneous-pancreas
adipose subcutaneous,vagina,0.8709226314175433,adipose subcutaneous-vagina
adipose subcutaneous,esophagus muscularis,0.8953963725562114,adipose subcutaneous-esophagus muscularis
adipose subcutaneous,whole blood,0.7285072795694918,adipose subcutaneous-whole blood
adipose subcutaneous,brain hypothalamus,0.742765881865749,adipose subcutaneous-brain hypothalamus
adipose subcutaneous,brain nucleus accumbens basal ganglia,0.725820823189918,adipose subcutaneous-brain nucleus accumbens basal ganglia
adipose subcutaneous,brain putamen basal ganglia,0.731198743403697,adipose subcutaneous-brain putamen basal ganglia
adipose subcutaneous,prostate,0.9119391580422077,adipose subcutaneous-prostate
adipose subcutaneous,brain hippocampus,0.7046352919473209,adipose subcutaneous-brain hippocampus
adipose subcutaneous,artery aorta,0.9204002013642085,adipose subcutaneous-artery aorta
adipose subcutaneous,brain amygdala,0.716252014267233,adipose subcutaneous-brain amygdala
adipose subcutaneous,brain spinal cord cervical c-1,0.6693239769905364,adipose subcutaneous-brain spinal cord cervical c-1
adipose subcutaneous,stomach,0.896826877292681,adipose subcutaneous-stomach
adipose subcutaneous,skin not sun exposed suprapubic,0.7679310745699417,adipose subcutaneous-skin not sun exposed suprapubic
adipose subcutaneous,artery coronary,0.9374858801054563,adipose subcutaneous-artery coronary
adipose subcutaneous,brain anterior cingulate cortex ba24,0.6328678676991304,adipose subcutaneous-brain anterior cingulate cortex ba24
adipose subcutaneous,pituitary,0.8753662351144962,adipose subcutaneous-pituitary
adipose subcutaneous,brain cerebellum,0.7021030242089091,adipose subcutaneous-brain cerebellum
adipose subcutaneous,artery tibial,0.9327535920510572,adipose subcutaneous-artery tibial
adipose subcutaneous,heart atrial appendage,0.8950343424812254,adipose subcutaneous-heart atrial appendage
adipose subcutaneous,breast mammary tissue,0.980688521901732,adipose subcutaneous-breast mammary tissue
adipose subcutaneous,brain cortex,0.6153444890368981,adipose subcutaneous-brain cortex
adipose subcutaneous,adrenal gland,0.9093755740078365,adipose subcutaneous-adrenal gland
adipose subcutaneous,esophagus gastroesophageal junction,0.9052341863172959,adipose subcutaneous-esophagus gastroesophageal junction
adipose subcutaneous,heart left ventricle,0.8138295022681483,adipose subcutaneous-heart left ventricle
adipose subcutaneous,cells cultured fibroblasts,0.8605060658292627,adipose subcutaneous-cells cultured fibroblasts
adipose subcutaneous,lung,0.8755080908218997,adipose subcutaneous-lung
adipose subcutaneous,skin sun exposed lower leg,0.7737338055358505,adipose subcutaneous-skin sun exposed lower leg
adipose subcutaneous,muscle skeletal,0.7672212651688302,adipose subcutaneous-muscle skeletal
adipose subcutaneous,brain substantia nigra,0.7359115785871637,adipose subcutaneous-brain substantia nigra
adipose subcutaneous,testis,0.8525218850332663,adipose subcutaneous-testis
adipose subcutaneous,small intestine terminal ileum,0.76822204274234,adipose subcutaneous-small intestine terminal ileum
adipose subcutaneous,nerve tibial,0.9480913276289066,adipose subcutaneous-nerve tibial
adipose subcutaneous,adipose visceral omentum,0.9329456137386684,adipose subcutaneous-adipose visceral omentum
adipose subcutaneous,brain frontal cortex ba9,0.5795576390354221,adipose subcutaneous-brain frontal cortex ba9
